time_s,role,uav_id
0.008312,backup,2
0.008330,backup,1
0.008338,backup,1
0.008345,backup,1
0.008352,backup,1
0.008360,backup,2
0.008367,backup,2
0.008375,backup,1
0.008382,backup,1
0.008390,backup,1
0.009398,primary,3
0.009411,primary,3
0.009419,primary,3
0.009427,primary,3
0.009434,primary,3
0.009441,primary,3
0.009449,primary,3
0.009457,primary,3
0.009464,primary,3
0.009471,primary,3
0.661216,primary,3
0.661236,backup,1
2.661121,backup,1
2.661123,primary,3
4.661131,backup,1
4.661136,primary,3
6.661090,backup,1
6.661092,primary,3
8.661164,backup,2
8.661176,primary,3
10.661331,backup,2
10.661337,primary,3
12.661193,backup,2
12.661195,primary,3
14.661301,backup,2
14.661308,primary,3
16.661084,backup,2
16.661088,primary,3
18.661208,backup,2
18.661211,primary,3
20.661345,backup,2
20.661351,primary,3
22.661235,backup,1
22.661247,primary,3
24.661089,primary,3
24.661105,backup,1
26.661237,backup,1
26.661240,primary,3
28.661210,backup,1
28.661212,primary,3
30.661179,backup,1
30.661185,primary,3
32.661146,backup,1
32.661152,primary,3
34.661154,backup,1
34.661159,primary,3
36.661149,primary,3
36.661170,backup,1
38.661232,backup,1
38.661236,primary,3
40.661110,backup,1
40.661112,primary,3
42.661170,primary,3
42.661189,backup,1
44.661125,backup,1
44.661137,primary,3
46.661172,primary,3
46.661193,backup,1
48.661223,backup,1
48.661232,primary,3
50.661122,primary,3
50.661144,backup,1
52.661126,primary,3
52.661146,backup,1
54.661220,primary,3
54.661244,backup,1
56.661146,primary,3
56.661166,backup,2
58.661108,primary,3
58.661129,backup,2
60.661282,primary,3
60.661297,backup,2
62.661045,backup,2
62.661050,primary,3
64.661180,primary,3
64.661199,backup,1
66.661164,backup,1
66.661167,primary,3
68.661345,primary,3
68.661356,backup,1
