time_s,assignment
0.000814,"{""assignments"": [{""gcs_snr_db"": 43.35, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9343, ""uav_id"": 1}, {""gcs_snr_db"": 44.4, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.923, ""uav_id"": 2}, {""gcs_snr_db"": 45.9, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8989, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000823,"{""assignments"": [{""gcs_snr_db"": 41.86, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9361, ""uav_id"": 1}, {""gcs_snr_db"": 44.89, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9262, ""uav_id"": 2}, {""gcs_snr_db"": 41.46, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.9005, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000831,"{""assignments"": [{""gcs_snr_db"": 45.67, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9362, ""uav_id"": 1}, {""gcs_snr_db"": 39.84, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9039, ""uav_id"": 2}, {""gcs_snr_db"": 41.07, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8777, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000838,"{""assignments"": [{""gcs_snr_db"": 37.46, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.923, ""uav_id"": 1}, {""gcs_snr_db"": 39.37, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.9144, ""uav_id"": 2}, {""gcs_snr_db"": 40.88, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.9035, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000845,"{""assignments"": [{""gcs_snr_db"": 43.22, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8837, ""uav_id"": 1}, {""gcs_snr_db"": 38.7, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8882, ""uav_id"": 2}, {""gcs_snr_db"": 36.27, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8874, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000853,"{""assignments"": [{""gcs_snr_db"": 33.44, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8722, ""uav_id"": 1}, {""gcs_snr_db"": 42.42, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8812, ""uav_id"": 2}, {""gcs_snr_db"": 36.27, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8807, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000861,"{""assignments"": [{""gcs_snr_db"": 42.18, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8703, ""uav_id"": 1}, {""gcs_snr_db"": 40.06, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.88, ""uav_id"": 2}, {""gcs_snr_db"": 35.15, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.88, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000868,"{""assignments"": [{""gcs_snr_db"": 38.59, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8713, ""uav_id"": 1}, {""gcs_snr_db"": 41.01, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8814, ""uav_id"": 2}, {""gcs_snr_db"": 32.3, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8813, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000876,"{""assignments"": [{""gcs_snr_db"": 31.41, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8707, ""uav_id"": 1}, {""gcs_snr_db"": 34.88, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8803, ""uav_id"": 2}, {""gcs_snr_db"": 38.55, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8798, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.000885,"{""assignments"": [{""gcs_snr_db"": 37.95, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8701, ""uav_id"": 1}, {""gcs_snr_db"": 34.75, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8787, ""uav_id"": 2}, {""gcs_snr_db"": 36.43, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8785, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
0.164073,"{""assignments"": [{""gcs_snr_db"": 39.67, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8697, ""uav_id"": 1}, {""gcs_snr_db"": 34.3, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 2], ""score"": 0.8798, ""uav_id"": 2}, {""gcs_snr_db"": 28.35, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 3], ""score"": 0.8632, ""uav_id"": 3}], ""backup_ch"": 2, ""epoch"": 9, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
2.164162,"{""assignments"": [{""gcs_snr_db"": 36.16, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8706, ""uav_id"": 1}, {""gcs_snr_db"": 18.28, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7456, ""uav_id"": 2}, {""gcs_snr_db"": 37.15, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8814, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
4.164199,"{""assignments"": [{""gcs_snr_db"": 37.78, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.8808, ""uav_id"": 1}, {""gcs_snr_db"": 11.95, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.6954, ""uav_id"": 2}, {""gcs_snr_db"": 36.86, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8849, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
6.164074,"{""assignments"": [{""gcs_snr_db"": 40.19, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9349, ""uav_id"": 1}, {""gcs_snr_db"": 20.39, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8308, ""uav_id"": 2}, {""gcs_snr_db"": 23.15, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8623, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
8.164070,"{""assignments"": [{""gcs_snr_db"": 42.48, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9886, ""uav_id"": 1}, {""gcs_snr_db"": 13.42, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8086, ""uav_id"": 2}, {""gcs_snr_db"": 31.34, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9828, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
10.164061,"{""assignments"": [{""gcs_snr_db"": 39.81, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9471, ""uav_id"": 1}, {""gcs_snr_db"": 10.62, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7462, ""uav_id"": 2}, {""gcs_snr_db"": 32.93, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9499, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
12.164075,"{""assignments"": [{""gcs_snr_db"": 36.65, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9569, ""uav_id"": 1}, {""gcs_snr_db"": 14.54, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7914, ""uav_id"": 2}, {""gcs_snr_db"": 31.0, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9396, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
14.164178,"{""assignments"": [{""gcs_snr_db"": 39.93, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9151, ""uav_id"": 1}, {""gcs_snr_db"": 16.25, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7575, ""uav_id"": 2}, {""gcs_snr_db"": 30.26, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8736, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
16.164186,"{""assignments"": [{""gcs_snr_db"": 38.59, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9651, ""uav_id"": 1}, {""gcs_snr_db"": 18.03, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8272, ""uav_id"": 2}, {""gcs_snr_db"": 21.4, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.8587, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
18.164078,"{""assignments"": [{""gcs_snr_db"": 35.65, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9852, ""uav_id"": 1}, {""gcs_snr_db"": 15.39, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8235, ""uav_id"": 2}, {""gcs_snr_db"": 26.46, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9422, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 10, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
