time_s,raw_score_array
0.000000,"[1.0, 0.9343010783195496, 1.0, 43.354949951171875, -50.645050048828125, 1.0, 0.6715055108070374, 1.0, 2.0, 0.92304927110672, 1.0, 44.395381927490234, -49.604618072509766, 1.0, 0.6152463555335999, 1.0, 3.0, 0.8989213705062866, 1.0, 45.90250015258789, -48.09749984741211, 1.0, 0.49460673332214355, 1.0]"
0.000021,"[1.0, 0.9360796809196472, 1.0, 41.86091232299805, -52.13908767700195, 1.0, 0.6803983449935913, 1.0, 2.0, 0.9262105226516724, 1.0, 44.887699127197266, -49.112300872802734, 1.0, 0.6310524940490723, 1.0, 3.0, 0.9004718065261841, 1.0, 41.461273193359375, -52.538726806640625, 1.0, 0.5023590922355652, 1.0]"
0.000029,"[1.0, 0.9361679553985596, 1.0, 45.665260314941406, -48.334739685058594, 1.0, 0.6808398962020874, 1.0, 2.0, 0.9038592576980591, 1.0, 39.84150314331055, -54.15849685668945, 1.0, 0.6336936950683594, 0.7712051868438721, 3.0, 0.8776537179946899, 1.0, 41.06934356689453, -52.93065643310547, 1.0, 0.5026658773422241, 0.7712051868438721]"
0.000037,"[1.0, 0.9230499267578125, 1.0, 37.45551681518555, -56.54448318481445, 1.0, 0.6152496933937073, 1.0, 2.0, 0.9144442081451416, 1.0, 39.367759704589844, -54.632240295410156, 1.0, 0.572221040725708, 1.0, 3.0, 0.9034615755081177, 1.0, 40.87601089477539, -53.12398910522461, 1.0, 0.5173079967498779, 1.0]"
0.000044,"[1.0, 0.8837378621101379, 1.0, 43.21818542480469, -50.78181457519531, 1.0, 0.41868922114372253, 1.0, 2.0, 0.8881950974464417, 1.0, 38.70408630371094, -55.29591369628906, 1.0, 0.4409753978252411, 1.0, 3.0, 0.8874083757400513, 1.0, 36.26851272583008, -57.73148727416992, 1.0, 0.4370419979095459, 1.0]"
0.000051,"[1.0, 0.8722264766693115, 1.0, 33.4412841796875, -60.5587158203125, 1.0, 0.36113226413726807, 1.0, 2.0, 0.8811910152435303, 1.0, 42.420902252197266, -51.579097747802734, 1.0, 0.40595513582229614, 1.0, 3.0, 0.8806900978088379, 1.0, 36.269371032714844, -57.730628967285156, 1.0, 0.4034504294395447, 1.0]"
0.000058,"[1.0, 0.8703424334526062, 1.0, 42.17858123779297, -51.82141876220703, 1.0, 0.3517121374607086, 1.0, 2.0, 0.8800244331359863, 1.0, 40.0571403503418, -53.9428596496582, 1.0, 0.4001222252845764, 1.0, 3.0, 0.880005419254303, 1.0, 35.15371322631836, -58.84628677368164, 1.0, 0.4000270366668701, 1.0]"
0.000066,"[1.0, 0.8712742328643799, 1.0, 38.59122848510742, -55.40877151489258, 1.0, 0.35637104511260986, 1.0, 2.0, 0.8813737630844116, 1.0, 41.013458251953125, -52.986541748046875, 1.0, 0.40686896443367004, 1.0, 3.0, 0.8812628388404846, 1.0, 32.302337646484375, -61.697662353515625, 1.0, 0.40631428360939026, 1.0]"
0.000075,"[1.0, 0.8706762790679932, 1.0, 31.40508460998535, -62.594913482666016, 1.0, 0.35338133573532104, 1.0, 2.0, 0.8802847266197205, 1.0, 34.87900924682617, -59.12099075317383, 1.0, 0.40142354369163513, 1.0, 3.0, 0.8798057436943054, 1.0, 38.545509338378906, -55.454490661621094, 1.0, 0.39902862906455994, 1.0]"
0.000083,"[1.0, 0.8701440691947937, 1.0, 37.94887924194336, -56.05112075805664, 1.0, 0.3507204055786133, 1.0, 2.0, 0.8786997199058533, 1.0, 34.75323486328125, -59.24676513671875, 1.0, 0.3934984803199768, 1.0, 3.0, 0.8785088062286377, 1.0, 36.4275016784668, -57.5724983215332, 1.0, 0.3925439417362213, 1.0]"
0.164101,"[1.0, 0.8697147965431213, 1.0, 39.67036437988281, -54.32963562011719, 1.0, 0.34857404232025146, 1.0, 2.0, 0.8797609806060791, 1.0, 34.302337646484375, -59.697662353515625, 1.0, 0.39880484342575073, 1.0, 3.0, 0.8631631135940552, 1.0, 28.354007720947266, -65.64599609375, 1.0, 0.3981150686740875, 1.0]"
2.164144,"[1.0, 0.8705679774284363, 1.0, 36.164798736572266, -57.835201263427734, 1.0, 0.3528399169445038, 1.0, 2.0, 0.7455952763557434, 1.0, 18.279531478881836, -75.72046661376953, 1.0, 0.40388280153274536, 0.8202338218688965, 3.0, 0.8814245462417603, 1.0, 37.146236419677734, -56.853763580322266, 1.0, 0.4071228802204132, 1.0]"
4.164184,"[1.0, 0.8807545304298401, 1.0, 37.78112030029297, -56.21887969970703, 1.0, 0.40377262234687805, 1.0, 2.0, 0.695376455783844, 1.0, 11.951957702636719, -82.04804229736328, 1.0, 0.4742492437362671, 0.8100702166557312, 3.0, 0.884894609451294, 1.0, 36.85541915893555, -57.14458084106445, 1.0, 0.42447295784950256, 1.0]"
6.164061,"[1.0, 0.9348707795143127, 1.0, 40.192527770996094, -53.807472229003906, 1.0, 0.6743537783622742, 1.0, 2.0, 0.8308312892913818, 1.0, 20.38996696472168, -73.61003112792969, 1.0, 0.726859986782074, 0.8155962228775024, 3.0, 0.862277626991272, 1.0, 23.148761749267578, -70.85124206542969, 1.0, 0.653950035572052, 1.0]"
8.164096,"[1.0, 0.9885993003845215, 1.0, 42.478424072265625, -51.521575927734375, 0.9848190546035767, 0.9657679796218872, 1.0, 2.0, 0.8086132407188416, 1.0, 13.422572135925293, -80.57743072509766, 1.0, 0.9639565944671631, 0.8159619569778442, 3.0, 0.9828082919120789, 1.0, 31.33635139465332, -62.66365051269531, 0.9848190546035767, 0.9368128180503845, 1.0]"
10.164089,"[1.0, 0.9471061825752258, 1.0, 39.81303787231445, -54.18696212768555, 1.0, 0.7355309128761292, 1.0, 2.0, 0.7462222576141357, 1.0, 10.619649887084961, -83.3803482055664, 1.0, 0.790293276309967, 0.8196712136268616, 3.0, 0.9499484896659851, 1.0, 32.931304931640625, -61.068695068359375, 1.0, 0.7497425675392151, 1.0]"
12.164064,"[1.0, 0.9568763375282288, 1.0, 36.64945983886719, -57.35054016113281, 1.0, 0.784381628036499, 1.0, 2.0, 0.7914425134658813, 1.0, 14.53555679321289, -79.46444702148438, 1.0, 0.813768208026886, 0.8333333134651184, 3.0, 0.9395814538002014, 1.0, 30.996488571166992, -63.003509521484375, 1.0, 0.6979071497917175, 1.0]"
14.164158,"[1.0, 0.9150605201721191, 1.0, 39.9328727722168, -54.0671272277832, 1.0, 0.5753027200698853, 1.0, 2.0, 0.7574942708015442, 1.0, 16.253767013549805, -77.74623107910156, 1.0, 0.5581163763999939, 0.8333333134651184, 3.0, 0.8736433386802673, 1.0, 30.263675689697266, -63.736324310302734, 1.0, 0.36821669340133667, 1.0]"
16.164176,"[1.0, 0.9651215672492981, 1.0, 38.58916473388672, -55.41083526611328, 0.987676739692688, 0.8440927267074585, 1.0, 2.0, 0.8271965980529785, 1.0, 18.0333251953125, -75.9666748046875, 0.9888448119163513, 0.8343828320503235, 0.8333333134651184, 3.0, 0.8586854934692383, 1.0, 21.401517868041992, -72.59848022460938, 0.9988319277763367, 0.7708597183227539, 0.9084880352020264]"
18.164109,"[1.0, 0.9851865768432617, 1.0, 35.645751953125, -58.354248046875, 1.0, 0.9259330034255981, 1.0, 2.0, 0.8235389590263367, 1.0, 15.392457962036133, -78.6075439453125, 1.0, 0.931405246257782, 0.8333333134651184, 3.0, 0.9421822428703308, 1.0, 26.464200973510742, -67.53579711914062, 1.0, 0.9357174038887024, 0.9039674401283264]"
20.164111,"[1.0, 0.9395961761474609, 1.0, 38.39067840576172, -55.60932159423828, 1.0, 0.6979807615280151, 1.0, 2.0, 0.8231067061424255, 1.0, 18.410789489746094, -75.5892105102539, 0.9881423115730286, 0.7961140871047974, 0.8333333134651184, 3.0, 0.9125003218650818, 1.0, 26.543624877929688, -67.45637512207031, 0.9881423115730286, 0.8018974661827087, 0.9024187326431274]"
22.164104,"[1.0, 0.8775325417518616, 1.0, 38.91054916381836, -55.08945083618164, 1.0, 0.38766270875930786, 1.0, 2.0, 0.7099233865737915, 1.0, 10.544902801513672, -83.45509338378906, 1.0, 0.6057052612304688, 0.8333333134651184, 3.0, 0.8741219639778137, 1.0, 26.395126342773438, -67.60487365722656, 1.0, 0.6048350930213928, 0.8920368552207947]"
24.164168,"[1.0, 0.7251462936401367, 1.0, 16.798587799072266, -77.201416015625, 1.0, 0.39721444249153137, 0.7771753668785095, 2.0, 0.6879788041114807, 1.0, 8.779335021972656, -85.22066497802734, 1.0, 0.5842605233192444, 0.8333333134651184, 3.0, 0.7873426079750061, 1.0, 17.59442901611328, -76.40557098388672, 1.0, 0.6105403900146484, 0.8929025530815125]"
26.164178,"[1.0, 0.9027742743492126, 1.0, 40.64177322387695, -53.35822677612305, 1.0, 0.513871431350708, 1.0, 2.0, 0.6220953464508057, 1.0, 5.162740230560303, -88.8372573852539, 1.0, 0.44394201040267944, 0.8167954087257385, 3.0, 0.8745653033256531, 1.0, 26.418216705322266, -67.581787109375, 1.0, 0.6052337288856506, 0.893363893032074]"
28.164156,"[1.0, 0.9167882204055786, 1.0, 34.630558013916016, -59.369441986083984, 1.0, 0.5839412212371826, 1.0, 2.0, 0.8793061971664429, 1.0, 34.03636169433594, -59.96363830566406, 1.0, 0.3965310752391815, 1.0, 3.0, 0.8232303261756897, 1.0, 22.981382369995117, -71.01861572265625, 1.0, 0.5202144980430603, 0.8937358856201172]"
30.164250,"[1.0, 0.9038122296333313, 1.0, 40.9932746887207, -53.0067253112793, 1.0, 0.5190610885620117, 1.0, 2.0, 0.9079225063323975, 1.0, 29.84555435180664, -64.1544418334961, 1.0, 0.5473347902297974, 1.0, 3.0, 0.7971093058586121, 1.0, 23.357501983642578, -70.64250183105469, 1.0, 0.3707800507545471, 0.8937828540802002]"
32.164211,"[1.0, 0.8713403940200806, 1.0, 39.03266143798828, -54.96733856201172, 1.0, 0.3567020893096924, 1.0, 2.0, 0.8889408111572266, 1.0, 34.28544235229492, -59.71455764770508, 0.9830918312072754, 0.47006627917289734, 1.0, 3.0, 0.7523298263549805, 1.0, 20.855499267578125, -73.14450073242188, 0.9830918312072754, 0.2953667640686035, 0.8977392315864563]"
34.164304,"[1.0, 0.8908655047416687, 1.0, 35.92173385620117, -58.07826614379883, 1.0, 0.45432743430137634, 1.0, 2.0, 0.9044917821884155, 1.0, 33.59658432006836, -60.40341567993164, 1.0, 0.5224587917327881, 1.0, 3.0, 0.8739798069000244, 1.0, 32.781551361083984, -61.218448638916016, 1.0, 0.36989909410476685, 1.0]"
36.164231,"[1.0, 0.9085453152656555, 1.0, 40.742523193359375, -53.257476806640625, 1.0, 0.5427266955375671, 1.0, 2.0, 0.8967542052268982, 1.0, 33.2143669128418, -60.7856330871582, 1.0, 0.4837709665298462, 1.0, 3.0, 0.9141407012939453, 1.0, 32.28235626220703, -61.71764373779297, 1.0, 0.5707035660743713, 1.0]"
38.164157,"[1.0, 0.8968847990036011, 1.0, 40.70656204223633, -53.29343795776367, 1.0, 0.4844241142272949, 1.0, 2.0, 0.8664883375167847, 1.0, 31.708826065063477, -62.291175842285156, 1.0, 0.3324415683746338, 1.0, 3.0, 0.908052384853363, 1.0, 31.852588653564453, -62.14741134643555, 1.0, 0.5402618050575256, 1.0]"
40.164059,"[1.0, 0.8749852776527405, 1.0, 43.021305084228516, -50.978694915771484, 1.0, 0.3749264180660248, 1.0, 2.0, 0.6482799053192139, 1.0, 8.292489051818848, -85.70751190185547, 1.0, 0.414767324924469, 0.8240155577659607, 3.0, 0.8967535495758057, 1.0, 28.983318328857422, -65.01667785644531, 1.0, 0.5346019268035889, 1.0]"
42.164295,"[1.0, 0.8899564146995544, 1.0, 41.83949661254883, -52.16050338745117, 1.0, 0.4497821629047394, 1.0, 2.0, 0.7862542271614075, 1.0, 17.453289031982422, -76.54671478271484, 1.0, 0.6500570774078369, 0.8170989155769348, 3.0, 0.932641327381134, 1.0, 35.8881950378418, -58.1118049621582, 1.0, 0.6632067561149597, 1.0]"
44.164140,"[1.0, 0.9550904035568237, 1.0, 45.13914108276367, -48.86085891723633, 1.0, 0.7754519581794739, 1.0, 2.0, 0.7528061866760254, 1.0, 10.454649925231934, -83.54534912109375, 0.9821286797523499, 0.86004239320755, 0.8161260485649109, 3.0, 0.9693514704704285, 1.0, 31.882980346679688, -62.11701965332031, 0.9821286797523499, 0.8735644221305847, 1.0]"
46.164123,"[1.0, 0.9844198226928711, 1.0, 41.91478729248047, -52.08521270751953, 0.9607750177383423, 0.980936586856842, 1.0, 2.0, 0.6481311321258545, 0.0, -1.711448073387146, -95.7114486694336, 0.9607750177383423, 0.9784106016159058, 0.813309907913208, 3.0, 0.9941985607147217, 1.0, 32.85419845581055, -61.14580154418945, 1.0, 0.9709927439689636, 1.0]"
48.164226,"[1.0, 0.9962819814682007, 1.0, 36.274749755859375, -57.725250244140625, 1.0, 0.9814099669456482, 1.0, 2.0, 0.8555490374565125, 1.0, 17.719196319580078, -76.28079986572266, 1.0, 0.9868184328079224, 0.8099336624145508, 3.0, 0.9960997700691223, 1.0, 36.00875473022461, -57.99124526977539, 1.0, 0.9804988503456116, 1.0]"
50.164192,"[1.0, 0.9582111239433289, 1.0, 40.35475540161133, -53.64524459838867, 1.0, 0.7910556793212891, 1.0, 2.0, 0.8356370329856873, 1.0, 17.842477798461914, -76.15752410888672, 0.9951738119125366, 0.8889185190200806, 0.8087641000747681, 3.0, 0.9591538906097412, 1.0, 28.29320526123047, -65.70679473876953, 0.9951738119125366, 0.888348400592804, 1.0]"
52.164163,"[1.0, 0.8920634984970093, 1.0, 45.56000518798828, -48.43999481201172, 1.0, 0.46031758189201355, 1.0, 2.0, 0.7829422950744629, 1.0, 16.64557647705078, -77.35442352294922, 1.0, 0.6780108213424683, 0.8088436722755432, 3.0, 0.935435950756073, 1.0, 31.980247497558594, -62.019752502441406, 1.0, 0.6771796941757202, 1.0]"
54.164146,"[1.0, 0.8912827968597412, 1.0, 45.41764450073242, -48.58235549926758, 1.0, 0.4564141035079956, 1.0, 2.0, 0.7749658823013306, 1.0, 15.976548194885254, -78.02345275878906, 1.0, 0.6711968183517456, 0.8096106052398682, 3.0, 0.9331657290458679, 1.0, 30.10940933227539, -63.89059066772461, 1.0, 0.6658285856246948, 1.0]"
56.164179,"[1.0, 0.9555513262748718, 1.0, 40.421051025390625, -53.578948974609375, 1.0, 0.7777565717697144, 1.0, 2.0, 0.8772206902503967, 1.0, 22.016218185424805, -71.98377990722656, 1.0, 0.8794435262680054, 0.8116978406906128, 3.0, 0.9758982062339783, 1.0, 32.296043395996094, -61.703956604003906, 1.0, 0.8794909119606018, 1.0]"
58.164105,"[1.0, 0.9966740608215332, 1.0, 44.86286544799805, -49.13713455200195, 1.0, 0.9833702445030212, 1.0, 2.0, 0.8453145027160645, 1.0, 16.63958740234375, -77.36041259765625, 1.0, 0.9889091849327087, 0.8113681077957153, 3.0, 0.9976414442062378, 1.0, 32.38026809692383, -61.61973190307617, 1.0, 0.9882073402404785, 1.0]"
60.164326,"[1.0, 0.9276887774467468, 1.0, 40.61629104614258, -53.38370895385742, 1.0, 0.6384438872337341, 1.0, 2.0, 0.6218518018722534, 0.0, -1.8011409044265747, -95.80113983154297, 1.0, 0.7934961915016174, 0.8116397857666016, 3.0, 0.9580916166305542, 1.0, 30.295612335205078, -63.70438766479492, 1.0, 0.7904582023620605, 1.0]"
62.164213,"[1.0, 0.8706143498420715, 1.0, 40.743812561035156, -53.256187438964844, 0.9702994227409363, 0.3976224660873413, 1.0, 2.0, 0.7341902852058411, 1.0, 12.794986724853516, -81.20500946044922, 0.9971388578414917, 0.6288105845451355, 0.8133665919303894, 3.0, 0.9153690934181213, 1.0, 30.984703063964844, -63.015296936035156, 0.9674383401870728, 0.6256881356239319, 1.0]"
64.164155,"[1.0, 0.923099935054779, 1.0, 44.6231689453125, -49.3768310546875, 1.0, 0.6154996156692505, 1.0, 2.0, 0.8012127876281738, 1.0, 16.352340698242188, -77.64765930175781, 1.0, 0.78128582239151, 0.8143220543861389, 3.0, 0.9555088877677917, 1.0, 31.035831451416016, -62.964168548583984, 1.0, 0.7775443196296692, 1.0]"
66.164213,"[1.0, 0.984450101852417, 1.0, 41.15046310424805, -52.84953689575195, 1.0, 0.922250509262085, 1.0, 2.0, 0.7771091461181641, 1.0, 10.4398193359375, -83.5601806640625, 1.0, 0.9551916718482971, 0.8167262077331543, 3.0, 0.9899871349334717, 1.0, 35.824462890625, -58.175537109375, 1.0, 0.9499357342720032, 1.0]"
68.164119,"[1.0, 0.9378494024276733, 1.0, 43.11176681518555, -50.88823318481445, 0.9980483055114746, 0.6921745538711548, 1.0, 2.0, 0.7948353886604309, 1.0, 14.698565483093262, -79.30143737792969, 1.0, 0.8304736614227295, 0.8175497055053711, 3.0, 0.950454592704773, 1.0, 28.523645401000977, -65.47635650634766, 0.9980483055114746, 0.8290183544158936, 1.0]"
