time_s,metric,source,destination,value
0.115202,rssi_dbm,0,1,-54.32963562011719
0.115202,rssi_dbm,0,2,-59.697662353515625
0.115202,rssi_dbm,0,3,-65.64599609375
0.115202,rssi_dbm,1,2,-56.049354553222656
0.115202,rssi_dbm,1,3,-59.58725357055664
0.115202,rssi_dbm,2,3,-62.2059211730957
0.115215,snr_db,0,1,39.67036437988281
0.115215,snr_db,0,2,34.302337646484375
0.115215,snr_db,0,3,28.354007720947266
0.115215,snr_db,1,2,37.950645446777344
0.115215,snr_db,1,3,34.41274642944336
0.115215,snr_db,2,3,31.794076919555664
0.615279,rssi_dbm,0,1,-54.95124053955078
0.615279,rssi_dbm,0,2,-59.51329803466797
0.615279,rssi_dbm,0,3,-61.06144332885742
0.615279,rssi_dbm,1,2,-54.503726959228516
0.615279,rssi_dbm,1,3,-58.39485168457031
0.615279,rssi_dbm,2,3,-57.805545806884766
0.615289,snr_db,0,1,39.04875946044922
0.615289,snr_db,0,2,34.48670196533203
0.615289,snr_db,0,3,32.93855667114258
0.615289,snr_db,1,2,39.496273040771484
0.615289,snr_db,1,3,35.60514831542969
0.615289,snr_db,2,3,36.194454193115234
1.075898,obstacle_loss_db,0,1,0.0
1.075898,obstacle_loss_db,0,2,0.0
1.075898,obstacle_loss_db,0,3,0.0
1.075898,obstacle_loss_db,1,2,0.0
1.075898,obstacle_loss_db,1,3,0.0
1.075898,obstacle_loss_db,2,3,0.0
1.115252,rssi_dbm,0,1,-55.19887161254883
1.115252,rssi_dbm,0,2,-60.032012939453125
1.115252,rssi_dbm,0,3,-59.14605712890625
1.115252,rssi_dbm,1,2,-55.451229095458984
1.115252,rssi_dbm,1,3,-58.02233123779297
1.115252,rssi_dbm,2,3,-59.29591751098633
1.115263,snr_db,0,1,38.80112838745117
1.115263,snr_db,0,2,33.967987060546875
1.115263,snr_db,0,3,34.85394287109375
1.115263,snr_db,1,2,38.548770904541016
1.115263,snr_db,1,3,35.97766876220703
1.115263,snr_db,2,3,34.70408248901367
1.179702,obstacle_loss_db,0,1,0.0
1.179702,obstacle_loss_db,0,2,0.0
1.179702,obstacle_loss_db,0,3,0.0
1.179702,obstacle_loss_db,1,2,0.0
1.179702,obstacle_loss_db,1,3,0.0
1.179702,obstacle_loss_db,2,3,0.0
1.276311,obstacle_loss_db,0,1,0.0
1.276311,obstacle_loss_db,0,2,15.020161628723145
1.276311,obstacle_loss_db,0,3,0.0
1.276311,obstacle_loss_db,1,2,0.0
1.276311,obstacle_loss_db,1,3,0.0
1.276311,obstacle_loss_db,2,3,0.0
1.379913,obstacle_loss_db,0,1,0.0
1.379913,obstacle_loss_db,0,2,15.328227996826172
1.379913,obstacle_loss_db,0,3,0.0
1.379913,obstacle_loss_db,1,2,0.0
1.379913,obstacle_loss_db,1,3,0.0
1.379913,obstacle_loss_db,2,3,0.0
1.476105,obstacle_loss_db,0,1,0.0
1.476105,obstacle_loss_db,0,2,15.328227996826172
1.476105,obstacle_loss_db,0,3,0.0
1.476105,obstacle_loss_db,1,2,0.0
1.476105,obstacle_loss_db,1,3,0.0
1.476105,obstacle_loss_db,2,3,0.0
1.579830,obstacle_loss_db,0,1,0.0
1.579830,obstacle_loss_db,0,2,15.483397483825684
1.579830,obstacle_loss_db,0,3,0.0
1.579830,obstacle_loss_db,1,2,0.0
1.579830,obstacle_loss_db,1,3,0.0
1.579830,obstacle_loss_db,2,3,0.0
1.615301,rssi_dbm,0,1,-51.4466438293457
1.615301,rssi_dbm,0,2,-70.87134552001953
1.615301,rssi_dbm,0,3,-64.59526824951172
1.615301,rssi_dbm,1,2,-54.699798583984375
1.615301,rssi_dbm,1,3,-58.094451904296875
1.615301,rssi_dbm,2,3,-59.59407424926758
1.615318,snr_db,0,1,42.5533561706543
1.615318,snr_db,0,2,23.12865447998047
1.615318,snr_db,0,3,29.40473175048828
1.615318,snr_db,1,2,39.300201416015625
1.615318,snr_db,1,3,35.905548095703125
1.615318,snr_db,2,3,34.40592575073242
1.676229,obstacle_loss_db,0,1,0.0
1.676229,obstacle_loss_db,0,2,15.63780689239502
1.676229,obstacle_loss_db,0,3,0.0
1.676229,obstacle_loss_db,1,2,0.0
1.676229,obstacle_loss_db,1,3,0.0
1.676229,obstacle_loss_db,2,3,0.0
1.780004,obstacle_loss_db,0,1,0.0
1.780004,obstacle_loss_db,0,2,15.793819427490234
1.780004,obstacle_loss_db,0,3,0.0
1.780004,obstacle_loss_db,1,2,0.0
1.780004,obstacle_loss_db,1,3,0.0
1.780004,obstacle_loss_db,2,3,0.0
1.876296,obstacle_loss_db,0,1,0.0
1.876296,obstacle_loss_db,0,2,15.870818138122559
1.876296,obstacle_loss_db,0,3,0.0
1.876296,obstacle_loss_db,1,2,0.0
1.876296,obstacle_loss_db,1,3,0.0
1.876296,obstacle_loss_db,2,3,0.0
1.980128,obstacle_loss_db,0,1,0.0
1.980128,obstacle_loss_db,0,2,16.024368286132812
1.980128,obstacle_loss_db,0,3,0.0
1.980128,obstacle_loss_db,1,2,0.0
1.980128,obstacle_loss_db,1,3,0.0
1.980128,obstacle_loss_db,2,3,0.0
2.076228,obstacle_loss_db,0,1,0.0
2.076228,obstacle_loss_db,0,2,16.178955078125
2.076228,obstacle_loss_db,0,3,0.0
2.076228,obstacle_loss_db,1,2,0.0
2.076228,obstacle_loss_db,1,3,0.0
2.076228,obstacle_loss_db,2,3,0.0
2.115347,rssi_dbm,0,1,-57.835201263427734
2.115347,rssi_dbm,0,2,-75.72046661376953
2.115347,rssi_dbm,0,3,-56.853763580322266
2.115347,rssi_dbm,1,2,-58.76799392700195
2.115347,rssi_dbm,1,3,-55.28394317626953
2.115347,rssi_dbm,2,3,-56.57419967651367
2.115359,snr_db,0,1,36.164798736572266
2.115359,snr_db,0,2,18.279531478881836
2.115359,snr_db,0,3,37.146236419677734
2.115359,snr_db,1,2,35.23200607299805
2.115359,snr_db,1,3,38.71605682373047
2.115359,snr_db,2,3,37.42580032348633
2.179956,obstacle_loss_db,0,1,0.0
2.179956,obstacle_loss_db,0,2,16.332138061523438
2.179956,obstacle_loss_db,0,3,0.0
2.179956,obstacle_loss_db,1,2,0.0
2.179956,obstacle_loss_db,1,3,0.0
2.179956,obstacle_loss_db,2,3,0.0
2.276106,obstacle_loss_db,0,1,0.0
2.276106,obstacle_loss_db,0,2,16.484792709350586
2.276106,obstacle_loss_db,0,3,0.0
2.276106,obstacle_loss_db,1,2,0.0
2.276106,obstacle_loss_db,1,3,0.0
2.276106,obstacle_loss_db,2,3,0.0
2.379772,obstacle_loss_db,0,1,0.0
2.379772,obstacle_loss_db,0,2,16.638864517211914
2.379772,obstacle_loss_db,0,3,0.0
2.379772,obstacle_loss_db,1,2,0.0
2.379772,obstacle_loss_db,1,3,0.0
2.379772,obstacle_loss_db,2,3,0.0
2.476235,obstacle_loss_db,0,1,0.0
2.476235,obstacle_loss_db,0,2,16.790990829467773
2.476235,obstacle_loss_db,0,3,0.0
2.476235,obstacle_loss_db,1,2,0.0
2.476235,obstacle_loss_db,1,3,0.0
2.476235,obstacle_loss_db,2,3,0.0
2.579953,obstacle_loss_db,0,1,0.0
2.579953,obstacle_loss_db,0,2,16.941932678222656
2.579953,obstacle_loss_db,0,3,0.0
2.579953,obstacle_loss_db,1,2,0.0
2.579953,obstacle_loss_db,1,3,0.0
2.579953,obstacle_loss_db,2,3,0.0
2.615300,rssi_dbm,0,1,-51.43002700805664
2.615300,rssi_dbm,0,2,-81.50364685058594
2.615300,rssi_dbm,0,3,-60.98911666870117
2.615300,rssi_dbm,1,2,-55.718997955322266
2.615300,rssi_dbm,1,3,-59.42879867553711
2.615300,rssi_dbm,2,3,-59.66939163208008
2.615318,snr_db,0,1,42.56997299194336
2.615318,snr_db,0,2,12.496350288391113
2.615318,snr_db,0,3,33.01088333129883
2.615318,snr_db,1,2,38.281002044677734
2.615318,snr_db,1,3,34.57120132446289
2.615318,snr_db,2,3,34.33060836791992
2.676172,obstacle_loss_db,0,1,0.0
2.676172,obstacle_loss_db,0,2,17.0956974029541
2.676172,obstacle_loss_db,0,3,0.0
2.676172,obstacle_loss_db,1,2,0.0
2.676172,obstacle_loss_db,1,3,0.0
2.676172,obstacle_loss_db,2,3,0.0
2.779897,obstacle_loss_db,0,1,0.0
2.779897,obstacle_loss_db,0,2,17.4014949798584
2.779897,obstacle_loss_db,0,3,0.0
2.779897,obstacle_loss_db,1,2,0.0
2.779897,obstacle_loss_db,1,3,0.0
2.779897,obstacle_loss_db,2,3,0.0
2.876528,obstacle_loss_db,0,1,0.0
2.876528,obstacle_loss_db,0,2,17.4014949798584
2.876528,obstacle_loss_db,0,3,0.0
2.876528,obstacle_loss_db,1,2,0.0
2.876528,obstacle_loss_db,1,3,0.0
2.876528,obstacle_loss_db,2,3,0.0
2.979927,obstacle_loss_db,0,1,0.0
2.979927,obstacle_loss_db,0,2,17.555490493774414
2.979927,obstacle_loss_db,0,3,0.0
2.979927,obstacle_loss_db,1,2,0.0
2.979927,obstacle_loss_db,1,3,0.0
2.979927,obstacle_loss_db,2,3,0.0
3.076240,obstacle_loss_db,0,1,0.0
3.076240,obstacle_loss_db,0,2,17.631628036499023
3.076240,obstacle_loss_db,0,3,0.0
3.076240,obstacle_loss_db,1,2,0.0
3.076240,obstacle_loss_db,1,3,0.0
3.076240,obstacle_loss_db,2,3,0.0
3.115252,rssi_dbm,0,1,-51.407833099365234
3.115252,rssi_dbm,0,2,-75.79813385009766
3.115252,rssi_dbm,0,3,-59.199127197265625
3.115252,rssi_dbm,1,2,-53.27268600463867
3.115252,rssi_dbm,1,3,-57.13657760620117
3.115252,rssi_dbm,2,3,-61.19172286987305
3.115272,snr_db,0,1,42.592166900634766
3.115272,snr_db,0,2,18.201866149902344
3.115272,snr_db,0,3,34.800872802734375
3.115272,snr_db,1,2,40.72731399536133
3.115272,snr_db,1,3,36.86342239379883
3.115272,snr_db,2,3,32.80827713012695
3.180087,obstacle_loss_db,0,1,0.0
3.180087,obstacle_loss_db,0,2,17.526193618774414
3.180087,obstacle_loss_db,0,3,0.0
3.180087,obstacle_loss_db,1,2,0.0
3.180087,obstacle_loss_db,1,3,0.0
3.180087,obstacle_loss_db,2,3,0.0
3.276213,obstacle_loss_db,0,1,0.0
3.276213,obstacle_loss_db,0,2,17.526193618774414
3.276213,obstacle_loss_db,0,3,0.0
3.276213,obstacle_loss_db,1,2,0.0
3.276213,obstacle_loss_db,1,3,0.0
3.276213,obstacle_loss_db,2,3,0.0
3.379917,obstacle_loss_db,0,1,0.0
3.379917,obstacle_loss_db,0,2,17.465158462524414
3.379917,obstacle_loss_db,0,3,0.0
3.379917,obstacle_loss_db,1,2,0.0
3.379917,obstacle_loss_db,1,3,0.0
